time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db
19.5048,2,4,165.6916,-110.4264,10.7921
19.5741,4,2,165.0413,-110.4309,10.7876
19.5741,4,3,54.9030,-80.2029,41.0156
19.6741,4,2,164.1492,-114.1955,7.0230
19.6741,4,3,54.6072,-80.2241,40.9944
19.7028,3,2,161.4479,-104.7286,16.4899
19.7028,3,4,54.7268,-80.2019,41.0165
19.7048,2,3,161.4350,-104.7290,16.4895
19.7048,2,4,163.9015,-114.2447,6.9738
19.7741,4,2,163.2204,-114.1957,7.0228
19.7741,4,3,54.2674,-80.2029,41.0156
19.8741,4,2,162.2654,-114.1957,7.0228
19.8741,4,3,53.8869,-80.2029,41.0156
19.9173,2,3,158.9466,-104.4452,16.7733
19.9316,2,4,162.0716,-117.6127,3.6058
19.9741,4,3,53.4579,-80.2029,41.0156
19.9826,4,2,161.1632,-121.4450,-0.2265
20.0028,3,2,157.7056,-104.4036,16.8148
20.0028,3,4,53.5140,-80.2019,41.0165
20.0741,4,3,52.9850,-80.2029,41.0156
20.0826,4,2,160.1400,-121.4450,-0.2265
20.1173,2,3,156.4042,-104.4040,16.8144
20.1741,4,3,52.4744,-80.2307,40.9877
20.1826,4,2,159.1001,-121.6607,-0.4422
20.2741,4,3,51.9123,-80.2307,40.9877
20.2826,4,2,158.0209,-121.6607,-0.4422
20.3028,3,2,153.8269,-104.0721,17.1464
20.3028,3,4,51.8997,-80.2296,40.9889
20.3173,2,3,153.7902,-104.0725,17.1460
20.3741,4,2,157.0063,-104.3469,16.8716
20.3741,4,3,51.3753,-80.2032,41.0153
20.4316,2,4,157.9766,-103.8113,17.4072
20.4741,4,2,155.7862,-103.9987,17.2198
20.4741,4,3,50.8982,-80.2322,40.9863
20.5173,2,3,151.1280,-103.7358,17.4827
20.5173,2,4,155.4384,-103.9987,17.2198
20.5741,4,2,154.5480,-103.9987,17.2198
20.5741,4,3,50.4216,-80.2322,40.9863
20.6163,3,2,149.6640,-103.7354,17.4831
20.6163,3,4,50.5589,-80.2311,40.9874
20.7146,2,3,148.3911,-103.3960,17.8225
20.7146,2,4,152.9366,-105.0314,16.1871
20.8653,4,2,150.8661,-104.6493,16.5692
20.8653,4,3,49.0403,-106.9674,14.2511
20.9146,2,3,145.6163,-103.0553,18.1631
20.9146,2,4,150.3680,-104.6498,16.5687
20.9163,3,2,145.4997,-103.0549,18.1635
20.9163,3,4,48.9727,-106.9664,14.2521
20.9653,4,2,149.5784,-104.6493,16.5692
20.9653,4,3,48.4411,-106.9674,14.2511
21.0653,4,2,148.2837,-103.2475,17.9709
21.0653,4,3,47.7937,-105.1567,16.0618
21.1146,2,3,142.8435,-102.7083,18.5102
21.1146,2,4,147.6696,-103.2479,17.9706
21.1653,4,2,146.7589,-103.2475,17.9709
21.1653,4,3,47.0100,-108.9366,12.2819
