tx_id,rx_id,distance,rssi,snr
1,3,94.626,-100.207,21.0111
1,7,10.2806,-79.5743,41.6442
1,8,98.1208,-96.0003,25.2182
1,9,241.045,-103.832,17.3868
1,12,224.049,-105.688,15.5309
1,13,10.883,-76.5039,44.7146
1,14,95.2422,-96.6098,24.6087
5,2,99.0381,-97.5001,23.7184
5,4,32.7602,-98.3981,22.8203
5,6,94.6388,-98.8778,22.3407
5,8,223.79,-108.045,13.1738
5,10,25.3263,-95.045,26.1734
5,11,9.97977,-77.6756,43.5429
5,12,95.1628,-97.955,23.2635
5,13,247.52,-107.775,13.4434
5,14,224.889,-107.879,13.3393
5,16,23.7835,-84.5201,36.6984
3,1,94.6317,-100.207,21.0111
3,4,242.198,-117.514,7.54598
3,5,214.064,-116.195,6.28143
3,7,92.1481,-101.487,19.7316
3,8,10.2003,-80.7969,40.4216
3,9,257.109,-114.663,6.55582
3,11,224.12,-109.948,10.6811
3,12,239.747,-112.546,8.67223
3,13,95.2477,-111.187,10.0316
3,14,10.7493,-88.8088,32.4096
3,16,234.615,-108.019,13.1998
6,2,37.6698,-89.4626,29.7431
6,4,82.7983,-94.4898,23.8036
6,5,94.6264,-98.8778,17.3074
6,9,27.5325,-88.1546,25.6413
6,10,87.8421,-95.9932,22.0758
6,11,95.1693,-96.2018,9.32377
6,12,10.1479,-76.6447,35.8658
6,13,224.784,-103.429,7.455
6,16,85.3927,-97.6394,10.1982
5,1,237.626,-118.94,2.27847
5,3,214.084,-120.277,7.55673
5,7,245.32,-117.781,3.43796
5,9,102.099,-122.439,-1.99159
3,10,237.258,-122.929,3.02289
1,4,257.138,-124.908,0.898598
1,5,237.526,-118.935,2.28339
1,6,213.739,-115.618,1.53898
1,10,255.007,-115.709,5.50976
1,16,251.868,-119.009,7.147
6,7,223.606,-105.175,16.0434
6,14,240.303,-106.647,14.5717
10,2,82.7506,-103.434,17.7841
10,4,8.48887,-92.4495,28.769
10,5,25.7805,-95.1813,26.0371
10,6,87.9385,-95.9988,25.2197
10,8,246.979,-119.037,9.41332
10,9,88.4376,-97.0036,24.2149
10,11,16.7866,-84.4588,36.7597
10,13,265.187,-115.041,10.234
10,16,3.24657,-79.8932,41.3253
10,1,254.672,-115.702,5.51637
10,3,236.903,-114.576,4.15739
10,7,263.036,-119.173,2.04552
10,12,85.6899,-109.258,9.49891
10,14,248.031,-112.682,5.448
14,1,95.2988,-96.6131,24.6054
14,2,275.131,-103.522,17.6961
14,3,11.1901,-89.057,32.1615
14,4,253.162,-107.638,13.1967
14,5,224.281,-107.862,13.3561
14,6,239.736,-106.635,14.5835
14,7,91.6364,-97.6775,23.541
14,8,3.20518,-75.0162,46.2023
14,9,267.289,-105.899,15.3199
14,10,248.084,-112.513,7.86226
14,11,234.664,-105.565,15.6536
14,12,249.629,-103.969,17.2494
14,13,94.632,-108.418,12.8006
14,16,245.353,-109.81,8.01681
11,2,95.5626,-97.7978,23.4207
11,3,223.197,-110.534,12.8288
11,4,25.3514,-88.4949,32.7236
11,5,10.5591,-78.0886,43.1299
11,6,95.2383,-96.2067,25.0117
11,9,99.8452,-101.52,19.6982
11,10,17.0591,-84.5875,36.631
11,12,94.6318,-109.086,13.018
11,14,234.56,-105.56,15.6589
11,16,16.1133,-85.9553,35.2632
11,7,253.96,-116.065,5.15389
7,1,10.7512,-79.9132,41.3052
7,3,92.1932,-101.491,19.7272
7,4,265.45,-113.852,13.7317
7,6,222.323,-105.132,16.0867
7,8,94.6232,-96.2659,24.9526
7,12,233.142,-104.165,17.0539
7,13,3.28416,-79.087,42.1315
7,14,91.6291,-97.6777,23.5408
7,5,243.961,-117.737,3.48151
7,10,263.019,-119.17,2.04825
7,11,253.814,-116.061,5.1577
8,1,98.1993,-96.006,25.2125
8,2,275.267,-112.265,8.9534
8,3,10.8853,-81.2854,39.9331
8,5,221.93,-107.974,13.2441
8,7,94.631,-96.2659,24.9526
8,12,249.072,-111.742,9.47612
8,13,97.6438,-110.094,11.1246
8,14,3.28399,-75.2611,45.9573
8,10,246.973,-113.567,10.6323
8,16,244.055,-117.428,5.76721
9,1,240.221,-103.806,17.4124
9,2,13.3357,-95.5193,25.6992
9,4,80.9,-94.8513,26.3672
9,5,102.359,-115.652,6.30423
9,6,29.3528,-88.6977,32.5208
9,10,88.0155,-96.9612,24.2573
9,11,99.8047,-101.515,19.7032
9,12,18.3589,-85.7305,35.4879
9,14,267.37,-105.903,15.3154
9,16,86.5718,-94.8326,26.3859
12,1,222.394,-105.623,15.5955
12,2,29.3515,-87.1294,34.0891
12,3,238.194,-112.49,8.72866
12,4,79.7084,-102.707,6.87323
12,5,95.2636,-97.9643,23.2542
12,6,11.1906,-77.3666,43.8519
12,7,232.831,-104.151,17.068
12,8,249.045,-111.74,9.47822
12,9,18.3415,-85.7305,35.4879
12,11,94.6214,-105.49,15.9059
12,13,234.389,-104.712,16.5067
12,14,249.281,-103.954,17.2647
12,16,83.5118,-97.1888,24.0297
9,3,256.172,-114.635,6.58337
2,1,251.671,-104.831,16.3879
2,4,74.0925,-94.1138,27.1047
2,5,99.38,-97.5296,23.6889
2,6,40.8046,-90.1358,31.0827
2,8,275.317,-112.268,8.95086
2,9,13.3965,-95.5946,25.6239
2,10,81.8929,-103.347,17.8711
2,11,95.399,-97.7843,23.4342
2,12,29.6518,-87.1972,34.0213
2,13,263.779,-111.233,9.9854
2,14,275.76,-103.544,17.6745
2,16,80.9339,-111.319,12.7052
5,2,99.3784,-97.5314,23.6871
5,4,35.1961,-99.0224,22.1961
5,6,94.6332,-98.8778,22.3407
5,8,221.516,-107.956,13.2628
5,10,27.4257,-95.7375,25.481
5,11,11.0639,-78.5677,42.6508
5,12,95.2756,-97.966,23.2525
5,13,245.884,-107.717,13.5011
5,14,223.053,-107.808,13.4107
5,16,25.3686,-85.0826,36.1359
6,2,40.8818,-90.1705,31.048
6,4,83.1549,-94.5282,26.6903
6,5,94.6212,-98.8778,22.3407
6,7,221.383,-105.092,16.1268
6,9,29.6431,-88.7926,32.4259
6,10,88.1229,-96.0218,25.1967
6,11,95.2822,-96.2127,25.0058
6,12,11.1877,-77.4805,43.738
6,13,223.017,-103.36,17.8582
6,14,238.619,-106.589,14.6298
6,16,85.7637,-97.6778,23.5407
5,1,234.894,-118.839,2.3791
5,3,211.051,-115.327,7.37684
5,7,243.237,-117.706,3.5122
10,2,81.6361,-103.317,17.9018
10,4,8.87136,-92.829,28.3895
10,5,27.9262,-95.8783,25.3402
10,6,88.2224,-96.0277,25.1908
10,8,246.84,-112.521,12.9437
10,9,87.7499,-96.9359,24.2826
10,11,17.8673,-85.0041,36.2144
10,12,85.5413,-112.064,9.78714
10,16,3.42964,-80.4047,40.8137
10,1,253.731,-115.67,5.54806
10,3,236.025,-116.017,4.95866
10,7,262.773,-119.165,2.05372
10,13,265.363,-125.297,-0.999982
10,14,248.314,-110.944,5.89276
14,1,95.4403,-96.6263,24.5922
14,2,276.106,-103.553,17.6655
14,3,12.3557,-89.9195,31.299
14,4,253.809,-114.893,14.8901
14,5,222.373,-107.788,13.4302
14,6,238.024,-106.573,14.6459
14,7,91.6397,-97.6781,23.5404
14,8,3.38998,-75.48,45.7385
14,9,267.51,-105.906,15.3128
14,11,233.842,-105.534,15.684
14,12,248.842,-103.942,17.2767
14,13,94.6288,-108.418,12.8006
14,16,245.29,-119.86,11.1011
8,4,252.717,-109.378,9.77018
13,1,12.5336,-77.6738,43.5447
13,2,264.276,-111.249,9.96935
13,3,95.4439,-111.205,10.0139
13,5,245.273,-107.698,13.5202
13,6,222.387,-103.339,17.88
13,7,3.44063,-79.4952,41.7233
13,8,97.643,-110.094,11.1242
13,10,265.417,-115.618,8.37091
13,12,233.935,-104.697,16.5215
13,14,94.626,-108.418,12.8006
13,16,261.967,-111.652,9.56684
14,10,248.419,-120.916,9.57665
9,13,252.115,-120.858,7.4481
13,4,268.019,-115.378,5.84059
13,9,252.495,-118.084,7.94889
13,11,255.69,-120.643,6.30577
12,10,85.417,-115.467,3.99011
11,2,95.2755,-97.7722,23.4463
11,3,221.193,-114.946,9.88509
11,4,26.8172,-88.9841,32.2344
11,5,11.6461,-78.9395,42.279
11,6,95.3548,-96.2174,25.001
11,9,99.6955,-101.507,19.711
11,10,18.2026,-85.152,36.0664
11,12,94.6314,-109.703,9.7361
11,14,233.688,-105.527,15.6913
11,16,16.7366,-86.2864,34.9321
6,1,210.166,-119.62,10.4804
11,7,252.754,-116.023,5.19549
11,8,231.929,-119.377,3.0923
6,8,238.022,-109.061,11.3085
7,1,11.4125,-80.4324,40.786
7,3,92.2722,-101.499,19.7197
7,4,265.42,-118.816,9.35136
7,6,220.012,-105.041,16.1774
