time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
8.2661,veh2,CAM,7,32.8617,nan,nan,-88.3567,120.0000,123.6328,1
8.3056,veh2,CAM,9,30.6435,nan,nan,-90.5750,265.0000,181.7039,1
8.3366,veh2,CAM,3,62.6682,nan,nan,-58.5503,120.0000,4.1004,1
8.3378,veh2,CAM,5,27.3056,nan,nan,-87.0613,120.0000,42.6991,1
8.3661,veh2,CAM,7,32.9716,nan,nan,-88.2469,120.0000,122.0797,1
8.3933,veh2,CAM,4,32.4493,nan,nan,-91.2903,120.0000,24.0377,1
8.4056,veh2,CAM,9,30.6616,nan,nan,-90.5569,265.0000,181.3181,1
8.4373,veh2,CAM,3,63.8020,nan,nan,-57.4165,120.0000,3.2201,1
8.4648,veh2,CAM,7,32.0699,nan,nan,-89.1485,120.0000,120.5265,1
8.4703,veh2,CAM,8,24.6562,nan,nan,-95.6699,120.0000,166.8513,1
8.5056,veh2,CAM,9,30.6790,nan,nan,-90.5394,265.0000,180.9481,1
8.5373,veh2,CAM,3,64.1409,nan,nan,-57.0775,120.0000,3.0168,1
8.5451,veh2,CAM,5,27.5069,nan,nan,-93.8636,120.0000,40.2993,1
8.5488,veh2,CAM,6,30.8464,nan,nan,-90.3721,120.0000,95.5988,1
8.5923,veh2,CAM,4,29.5436,nan,nan,-91.1362,120.0000,21.9806,1
8.6056,veh2,CAM,9,30.6961,nan,nan,-90.5224,265.0000,180.5861,1
8.6373,veh2,CAM,3,62.6503,nan,nan,-58.5682,120.0000,3.5348,1
8.6961,veh2,CAM,9,30.7110,nan,nan,-90.5075,120.0000,180.2329,1
8.7373,veh2,CAM,3,60.6180,nan,nan,-60.6005,120.0000,4.4549,1
8.7481,veh2,CAM,5,29.8624,nan,nan,-87.9239,120.0000,38.0369,1
8.7648,veh2,CAM,7,32.4137,nan,nan,-88.8048,120.0000,115.8471,1
8.7673,veh2,CAM,8,22.3140,nan,nan,-96.7571,120.0000,165.3330,1
8.7923,veh2,CAM,4,31.4509,nan,nan,-91.7649,120.0000,20.0974,1
8.7961,veh2,CAM,9,30.7268,nan,nan,-90.4917,120.0000,179.9063,1
8.8373,veh2,CAM,3,58.7543,nan,nan,-62.4642,120.0000,5.5403,1
8.8443,veh2,CAM,6,27.2025,nan,nan,-94.0160,120.0000,90.9054,1
8.8673,veh2,CAM,8,22.8992,nan,nan,-102.8831,120.0000,164.3558,1
8.9373,veh2,CAM,3,57.1732,nan,nan,-64.0453,120.0000,6.6656,1
8.9481,veh2,CAM,5,25.5570,nan,nan,-97.4907,120.0000,35.9196,1
8.9673,veh2,CAM,8,21.3221,nan,nan,-92.2723,120.0000,162.9340,1
8.9923,veh2,CAM,4,26.9863,nan,nan,-88.9928,120.0000,18.4044,1
9.0376,veh2,CAM,3,56.2716,nan,nan,-64.9469,120.0000,7.7861,1
9.0648,veh2,CAM,7,32.7708,nan,nan,-88.4477,120.0000,111.1786,1
9.0673,veh2,CAM,8,28.2307,nan,nan,-97.3914,120.0000,161.5153,1
9.0961,veh2,CAM,9,30.7703,nan,nan,-90.4482,120.0000,178.9958,1
9.1376,veh2,CAM,3,55.1485,nan,nan,-66.0700,120.0000,8.8773,1
9.1443,veh2,CAM,6,27.6636,nan,nan,-93.5549,120.0000,86.2098,1
9.1481,veh2,CAM,5,30.6560,nan,nan,-85.1084,120.0000,33.9378,1
9.1673,veh2,CAM,8,19.6205,nan,nan,-94.6145,120.0000,160.0935,1
9.1923,veh2,CAM,4,38.5991,nan,nan,-91.0502,120.0000,16.8737,1
9.2376,veh2,CAM,3,54.1900,nan,nan,-67.0285,120.0000,9.9331,1
9.2673,veh2,CAM,8,29.3017,nan,nan,-95.5889,120.0000,158.6699,1
9.3376,veh2,CAM,3,53.3435,nan,nan,-67.8750,120.0000,10.9559,1
9.3418,veh2,CAM,5,29.9932,nan,nan,-80.9716,120.0000,32.0814,1
9.3673,veh2,CAM,8,23.7237,nan,nan,-106.2578,120.0000,157.2607,1
9.3793,veh2,CAM,7,34.1699,nan,nan,-87.0486,277.0000,106.5019,1
9.3896,veh2,CAM,4,36.4529,nan,nan,-91.8185,120.0000,15.5236,1
9.3983,veh2,CAM,9,29.7909,nan,nan,-91.4276,120.0000,178.1994,1
9.4376,veh2,CAM,3,52.5667,nan,nan,-68.6518,120.0000,11.9909,1
9.4398,veh2,CAM,6,28.1340,nan,nan,-93.0845,120.0000,81.5212,1
9.4671,veh2,CAM,8,25.4966,nan,nan,-93.2827,120.0000,155.8559,1
9.5376,veh2,CAM,3,51.8495,nan,nan,-69.3690,120.0000,13.0279,1
9.5418,veh2,CAM,5,40.3541,nan,nan,-85.6552,120.0000,30.3719,1
9.5896,veh2,CAM,4,37.9175,nan,nan,-78.5458,120.0000,14.3548,1
9.6376,veh2,CAM,3,51.1817,nan,nan,-70.0367,120.0000,14.0786,1
9.6793,veh2,CAM,7,34.5605,nan,nan,-86.6580,265.0000,101.8267,1
9.6848,veh2,CAM,10,20.0405,nan,nan,-103.4650,120.0000,171.1574,1
9.6983,veh2,CAM,9,29.8229,nan,nan,-91.3956,120.0000,177.5315,1
9.7398,veh2,CAM,6,28.6495,nan,nan,-92.5690,120.0000,76.8201,1
9.7418,veh2,CAM,5,31.5007,nan,nan,-88.5972,120.0000,28.7695,1
9.7671,veh2,CAM,8,17.9380,nan,nan,-96.2210,120.0000,151.6402,1
9.7896,veh2,CAM,4,34.6664,nan,nan,-80.0928,120.0000,13.3353,1
9.9418,veh2,CAM,5,33.8604,nan,nan,-81.8007,120.0000,27.2808,1
9.9793,veh2,CAM,7,34.9692,nan,nan,-86.2493,265.0000,97.1564,1
9.9848,veh2,CAM,10,20.4891,nan,nan,-98.9843,120.0000,173.1492,1
9.9896,veh2,CAM,4,39.0466,nan,nan,-83.8273,120.0000,12.4358,1
9.9983,veh2,CAM,9,29.8886,nan,nan,-91.3299,120.0000,176.2340,1
10.0338,veh2,CAM,3,49.7321,nan,nan,-71.4864,120.0000,18.3013,1
10.0398,veh2,CAM,6,29.1961,nan,nan,-92.0224,120.0000,72.1311,1
10.0671,veh2,CAM,8,26.9379,nan,nan,-101.3846,120.0000,147.4686,1
10.0983,veh2,CAM,9,29.9232,nan,nan,-91.2953,120.0000,175.5267,1
10.1418,veh2,CAM,5,34.1078,nan,nan,-84.2988,120.0000,25.8725,1
10.1896,veh2,CAM,4,40.9774,nan,nan,-77.9533,120.0000,11.6210,1
10.1983,veh2,CAM,9,29.9576,nan,nan,-91.2609,120.0000,174.8339,1
10.2791,veh2,CAM,10,21.7671,nan,nan,-101.4043,120.0000,175.2476,1
10.2793,veh2,CAM,7,35.3989,nan,nan,-85.8196,265.0000,92.4700,1
10.2983,veh2,CAM,9,29.9913,nan,nan,-91.2272,120.0000,174.1510,1
10.3398,veh2,CAM,6,29.7809,nan,nan,-91.4376,120.0000,67.4394,1
10.3418,veh2,CAM,5,26.7433,nan,nan,-81.5208,120.0000,24.5582,1
10.3671,veh2,CAM,8,21.9127,nan,nan,-98.9698,120.0000,143.3239,1
10.3896,veh2,CAM,4,38.7219,nan,nan,-82.1877,120.0000,10.9152,1
10.3983,veh2,CAM,9,30.0244,nan,nan,-91.1940,120.0000,173.4894,1
