time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
9361.2500,3,3,936,1,1,0,1,10,10,7,14,308,20,5,1,1,3,10,25
9368.0000,3,3,936,8,0,0,1,10,10,7,14,308,20,5,1,1,3,7,255
9419.2500,2,2,941,9,1,0,1,0,10,7,14,308,20,5,0,1,3,3,7
9434.0000,2,2,943,4,0,0,1,10,10,7,14,308,20,5,1,1,3,14,255
9514.7500,1,1,951,4,3,0,1,0,10,7,14,308,20,5,0,1,3,17,26
9526.0000,1,1,952,6,0,0,1,0,10,7,14,308,20,5,0,1,3,8,255
9619.2500,2,2,961,9,1,0,1,0,10,7,14,308,20,5,0,1,3,3,7
9634.0000,2,2,963,4,0,0,1,10,10,7,14,308,20,5,1,1,3,14,255
9661.2500,3,3,966,1,1,0,1,10,10,7,14,308,20,5,1,1,3,10,25
9668.0000,3,3,966,8,0,0,1,10,10,7,14,308,20,5,1,1,3,7,255
9814.7500,1,1,981,4,3,0,1,0,10,7,14,308,20,5,0,1,3,17,26
9819.2500,2,2,981,9,1,0,1,0,10,7,14,308,20,5,0,1,3,3,7
9826.0000,1,1,982,6,0,0,1,0,10,7,14,308,20,5,0,1,3,8,255
9834.0000,2,2,983,4,0,0,1,10,10,7,14,308,20,5,1,1,3,14,255
9961.2500,3,3,996,1,1,0,1,10,10,7,14,308,20,5,1,1,3,10,25
9968.0000,3,3,996,8,0,0,1,10,10,7,14,308,20,5,1,1,3,7,255
10019.2500,2,2,1001,9,1,0,1,0,10,7,14,308,20,5,0,1,3,3,7
10034.0000,2,2,1003,4,0,0,1,10,10,7,14,308,20,5,1,1,3,14,255
10117.2500,1,1,1011,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10123.0000,1,1,1012,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10217.2500,1,1,1021,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10219.2500,2,2,1021,9,1,0,1,0,10,7,14,308,20,5,0,1,3,3,7
10223.0000,1,1,1022,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10234.0000,2,2,1023,4,0,0,1,10,10,7,14,308,20,5,1,1,3,14,255
10270.5000,3,3,1027,0,2,0,1,30,10,7,14,308,20,5,3,1,3,5,12
10287.2500,3,3,1028,7,1,0,1,20,10,7,14,308,20,5,2,1,3,5,255
10317.2500,1,1,1031,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10323.0000,1,1,1032,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10417.2500,1,1,1041,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
10423.0000,1,1,1042,3,0,0,1,20,10,7,14,308,20,5,2,1,3,8,255
10517.2500,1,1,1051,7,1,0,1,30,10,7,14,308,20,5,3,1,3,4,22
