time,vehicle,speed,lane
31.0,veh2,20.83,1
32.0,veh20,6.94,0
32.0,veh3,6.93,0
32.0,veh1,6.93,0
32.0,veh9,6.93,0
32.0,veh5,11.1,0
32.0,veh14,11.11,0
32.0,veh18,13.88,0
32.0,veh10,6.93,1
32.0,veh13,15.26,0
32.0,veh8,16.6,1
32.0,veh16,16.66,1
32.0,veh19,3.47,0
32.0,veh4,20.83,1
32.0,veh17,11.09,0
32.0,veh6,5.27,0
32.0,veh7,5.54,0
32.0,veh12,3.45,0
32.0,veh11,4.85,0
32.0,veh15,12.68,0
32.0,veh2,20.82,1
33.0,veh20,6.94,0
33.0,veh3,6.94,0
33.0,veh1,6.93,0
33.0,veh18,13.89,0
33.0,veh9,6.93,0
33.0,veh5,11.09,0
33.0,veh14,11.09,0
33.0,veh10,6.92,1
33.0,veh13,15.26,0
33.0,veh8,16.6,1
33.0,veh16,16.64,1
33.0,veh15,6.93,0
33.0,veh19,3.47,0
33.0,veh4,20.81,1
33.0,veh17,11.09,0
33.0,veh6,8.2,0
33.0,veh7,5.54,0
33.0,veh12,3.47,0
33.0,veh11,4.85,0
33.0,veh2,20.82,1
34.0,veh20,6.93,0
34.0,veh3,6.92,0
34.0,veh1,6.93,0
34.0,veh18,13.88,0
34.0,veh9,6.93,0
34.0,veh5,11.1,0
34.0,veh14,11.1,0
34.0,veh10,6.93,1
34.0,veh13,15.27,0
34.0,veh8,16.63,1
34.0,veh16,16.65,1
34.0,veh15,6.93,0
34.0,veh19,3.46,0
34.0,veh4,20.83,1
34.0,veh17,11.11,0
34.0,veh6,8.31,0
34.0,veh7,6.62,0
34.0,veh12,3.46,0
34.0,veh11,4.85,0
34.0,veh2,20.82,1
35.0,veh20,6.94,0
35.0,veh3,6.93,0
35.0,veh1,6.93,0
35.0,veh18,13.88,0
35.0,veh9,6.92,0
35.0,veh5,11.1,0
35.0,veh14,11.1,0
35.0,veh10,6.93,1
35.0,veh13,15.25,0
35.0,veh8,16.64,1
35.0,veh16,16.65,1
35.0,veh15,6.94,0
35.0,veh19,3.46,0
35.0,veh4,20.82,1
35.0,veh17,11.1,0
35.0,veh6,8.33,0
35.0,veh7,9.65,0
35.0,veh12,3.46,0
35.0,veh11,4.85,0
35.0,veh2,20.82,1
36.0,veh20,6.93,0
36.0,veh3,6.92,0
36.0,veh1,6.94,0
36.0,veh14,11.1,0
36.0,veh18,13.87,0
36.0,veh9,6.93,0
36.0,veh5,11.11,0
36.0,veh10,6.92,1
36.0,veh13,15.25,0
36.0,veh8,16.63,1
36.0,veh16,16.65,1
36.0,veh15,6.93,0
36.0,veh2,20.82,1
36.0,veh19,3.46,0
36.0,veh4,20.82,1
36.0,veh17,10.23,0
36.0,veh6,8.32,0
36.0,veh7,11.11,0
36.0,veh12,3.46,0
36.0,veh11,4.86,0
37.0,veh20,6.94,0
37.0,veh3,6.93,0
37.0,veh1,6.93,0
37.0,veh14,11.1,0
37.0,veh18,13.88,0
37.0,veh9,6.93,0
37.0,veh5,11.09,0
37.0,veh10,6.93,1
37.0,veh13,15.27,0
37.0,veh8,16.64,1
37.0,veh16,16.65,1
37.0,veh15,6.94,0
37.0,veh2,20.83,1
37.0,veh19,3.45,0
37.0,veh4,20.83,1
37.0,veh17,9.56,0
37.0,veh6,8.32,0
37.0,veh7,9.49,0
37.0,veh12,5.43,0
37.0,veh11,4.86,0
38.0,veh20,6.92,0
38.0,veh3,6.92,0
38.0,veh1,6.94,0
38.0,veh14,11.1,0
38.0,veh18,13.87,0
38.0,veh9,6.93,0
38.0,veh5,11.1,0
38.0,veh10,6.94,1
38.0,veh8,16.66,1
38.0,veh15,6.93,0
38.0,veh2,20.83,1
38.0,veh19,3.46,0
38.0,veh4,20.82,1
38.0,veh13,15.26,0
38.0,veh6,8.31,0
38.0,veh12,6.92,0
38.0,veh11,4.85,0
38.0,veh16,16.65,1
38.0,veh17,11.09,1
38.0,veh7,9.77,1
39.0,veh20,6.94,0
39.0,veh3,6.93,0
39.0,veh1,6.93,0
39.0,veh14,11.11,0
39.0,veh18,13.87,0
39.0,veh9,6.92,0
39.0,veh5,11.1,0
39.0,veh10,6.94,1
39.0,veh8,16.64,1
39.0,veh15,6.93,0
39.0,veh2,20.83,1
39.0,veh19,5.52,0
39.0,veh4,20.82,1
39.0,veh13,15.25,0
39.0,veh6,8.33,0
39.0,veh12,6.93,0
39.0,veh11,4.85,0
39.0,veh16,16.66,1
39.0,veh17,11.1,1
39.0,veh7,11.11,1
40.0,veh20,6.93,0
40.0,veh3,6.94,0
40.0,veh1,6.94,0
40.0,veh14,11.09,0
40.0,veh18,13.88,0
40.0,veh9,6.92,0
40.0,veh5,11.09,0
40.0,veh10,6.93,1
40.0,veh15,6.93,0
40.0,veh2,20.82,1
40.0,veh19,6.94,0
40.0,veh4,20.82,1
40.0,veh13,15.26,0
40.0,veh6,8.33,0
40.0,veh12,6.92,0
40.0,veh11,6.49,0
40.0,veh8,16.65,1
40.0,veh16,16.64,1
40.0,veh17,11.1,1
40.0,veh7,11.1,1
41.0,veh20,6.92,0
41.0,veh3,6.94,0
41.0,veh1,6.94,0
41.0,veh5,11.09,0
41.0,veh14,11.11,0
41.0,veh18,13.89,0
41.0,veh9,6.93,0
41.0,veh10,6.94,1
41.0,veh11,9.44,0
41.0,veh15,6.94,0
41.0,veh2,20.83,1
41.0,veh19,6.93,0
41.0,veh4,20.82,1
41.0,veh13,15.27,0
41.0,veh6,8.31,0
41.0,veh12,6.93,0
41.0,veh8,16.65,1
41.0,veh16,16.64,1
41.0,veh17,11.09,1
41.0,veh7,11.1,1
42.0,veh20,6.93,0
42.0,veh3,6.94,0
42.0,veh1,6.92,0
42.0,veh2,20.82,1
42.0,veh5,11.11,0
42.0,veh14,11.09,0
42.0,veh9,6.93,0
42.0,veh10,6.92,1
42.0,veh11,9.72,0
42.0,veh15,6.94,0
42.0,veh18,13.88,0
42.0,veh19,6.93,0
42.0,veh4,20.83,1
42.0,veh13,15.26,0
42.0,veh6,8.31,0
42.0,veh12,6.92,0
42.0,veh8,16.65,1
42.0,veh16,16.64,1
42.0,veh17,11.1,1
42.0,veh7,11.11,1
43.0,veh20,6.93,0
43.0,veh3,6.94,0
43.0,veh2,20.82,1
43.0,veh5,11.09,0
