timeMs,imsi,rnti,srcL2Id,dstL2Id,frame,subFrame,slot,symStart,symLen,sbChSize,rbStart,rbLen,harqId,ndi,rv,reselCounter,cReselCounter,csiReq,castType,SEED,RUN
5029.5,1,1,1,255,502,9,2,1,12,50,0,50,3,0,3,8,116,0,0,1,1
5031.5,1,1,1,255,503,1,2,1,12,50,0,50,3,0,1,8,116,0,0,1,1
5032.0,1,1,1,255,503,2,0,1,12,50,0,50,3,0,0,7,115,0,0,1,1
5126.0,1,1,1,255,512,6,0,1,12,50,0,50,0,1,0,7,115,0,0,1,1
5126.5,1,1,1,255,512,6,2,1,12,50,0,50,0,0,2,7,115,0,0,1,1
5129.5,1,1,1,255,512,9,2,1,12,50,0,50,0,0,3,7,115,0,0,1,1
5131.5,1,1,1,255,513,1,2,1,12,50,0,50,0,0,1,7,115,0,0,1,1
5132.0,1,1,1,255,513,2,0,1,12,50,0,50,0,0,0,6,114,0,0,1,1
5226.0,1,1,1,255,522,6,0,1,12,50,0,50,1,1,0,6,114,0,0,1,1
5226.5,1,1,1,255,522,6,2,1,12,50,0,50,1,0,2,6,114,0,0,1,1
5229.5,1,1,1,255,522,9,2,1,12,50,0,50,1,0,3,6,114,0,0,1,1
5231.5,1,1,1,255,523,1,2,1,12,50,0,50,1,0,1,6,114,0,0,1,1
5232.0,1,1,1,255,523,2,0,1,12,50,0,50,1,0,0,5,113,0,0,1,1
5326.0,1,1,1,255,532,6,0,1,12,50,0,50,2,1,0,5,113,0,0,1,1
5326.5,1,1,1,255,532,6,2,1,12,50,0,50,2,0,2,5,113,0,0,1,1
5329.5,1,1,1,255,532,9,2,1,12,50,0,50,2,0,3,5,113,0,0,1,1
5331.5,1,1,1,255,533,1,2,1,12,50,0,50,2,0,1,5,113,0,0,1,1
5332.0,1,1,1,255,533,2,0,1,12,50,0,50,2,0,0,4,112,0,0,1,1
5426.0,1,1,1,255,542,6,0,1,12,50,0,50,3,1,0,4,112,0,0,1,1
5426.5,1,1,1,255,542,6,2,1,12,50,0,50,3,0,2,4,112,0,0,1,1
5429.5,1,1,1,255,542,9,2,1,12,50,0,50,3,0,3,4,112,0,0,1,1
5431.5,1,1,1,255,543,1,2,1,12,50,0,50,3,0,1,4,112,0,0,1,1
5432.0,1,1,1,255,543,2,0,1,12,50,0,50,3,0,0,3,111,0,0,1,1
5526.0,1,1,1,255,552,6,0,1,12,50,0,50,0,1,0,3,111,0,0,1,1
5526.5,1,1,1,255,552,6,2,1,12,50,0,50,0,0,2,3,111,0,0,1,1
5529.5,1,1,1,255,552,9,2,1,12,50,0,50,0,0,3,3,111,0,0,1,1
5531.5,1,1,1,255,553,1,2,1,12,50,0,50,0,0,1,3,111,0,0,1,1
5532.0,1,1,1,255,553,2,0,1,12,50,0,50,0,0,0,2,110,0,0,1,1
5626.0,1,1,1,255,562,6,0,1,12,50,0,50,1,1,0,2,110,0,0,1,1
5626.5,1,1,1,255,562,6,2,1,12,50,0,50,1,0,2,2,110,0,0,1,1
5629.5,1,1,1,255,562,9,2,1,12,50,0,50,1,0,3,2,110,0,0,1,1
5631.5,1,1,1,255,563,1,2,1,12,50,0,50,1,0,1,2,110,0,0,1,1
5632.0,1,1,1,255,563,2,0,1,12,50,0,50,1,0,0,1,109,0,0,1,1
5726.0,1,1,1,255,572,6,0,1,12,50,0,50,2,1,0,1,109,0,0,1,1
5726.5,1,1,1,255,572,6,2,1,12,50,0,50,2,0,2,1,109,0,0,1,1
5729.5,1,1,1,255,572,9,2,1,12,50,0,50,2,0,3,1,109,0,0,1,1
5731.5,1,1,1,255,573,1,2,1,12,50,0,50,2,0,1,1,109,0,0,1,1
5732.0,1,1,1,255,573,2,0,1,12,50,0,50,2,0,0,0,108,0,0,1,1
5834.75,1,1,1,255,583,4,3,1,12,50,0,50,0,1,0,8,89,0,0,1,1
5836.0,1,1,1,255,583,6,0,1,12,50,0,50,0,0,2,8,89,0,0,1,1
5836.25,1,1,1,255,583,6,1,1,12,50,0,50,0,0,3,8,89,0,0,1,1
5836.75,1,1,1,255,583,6,3,1,12,50,0,50,0,0,1,8,89,0,0,1,1
5839.75,1,1,1,255,583,9,3,1,12,50,0,50,0,0,0,7,88,0,0,1,1
5934.75,1,1,1,255,593,4,3,1,12,50,0,50,1,1,0,7,88,0,0,1,1
